publishers,books_published_mapped
harpercollins,210
voyager,62
orbit,53
del rey,24
harper & row,22
vintage,22
warner books,20
oxford university press,20
ballantine,18
eos,18
random house,17
bantam books,15
putnam,13
penguin,12
franklin classics,12
doubleday,9
harpertrophy,9
ace books,8
sidgwick & jackson,8
vintage books,7
penguin random house,7
grand central publishing,7
harperaudio,7
caedmon,7
harperprism,7
pan books,6
"open road integrated media, inc.",6
berkley,6
harpertorch,6
perennial,6
harper perennial,5
tor books,5
imusti,5
perfectbound,5
hodder & stoughton,5
t. doherty associates,4
vintage classics,4
harper,3
anchor books,3
warner,3
harperperennial,3
mit press,3
forgotten books,3
hodder & stoughton paperbacks,3
st. martin's press,3
fiction,3
"oxford university press, usa",3
bantam,3
"orion publishing group, limited",3
gollancz,3
sphere,3
orb,2
tor,2
turtleback,2
doubleday canada,2
new english library,2
"little, brown book group limited",2
"holt, rinehart and winston",2
spectra,2
tom doherty associates,2
new english library ltd,2
fourth estate,2
mlbd,2
ecco,2
william morrow,2
avon,2
harper collins - voyager,2
harpercollins children's books,2
clarendon press,2
brand: turtleback,1
bedford/st. martin's,1
palgrave macmillan,1
western publishing company golden books,1
the mit press,1
windsor,1
harpercollins publisher,1
puffin,1
balzer + bray,1
corgi books (twld),1
pan books ltd.,1
pan,1
"ace books, inc.",1
dobson,1
dobson books,1
puffin books,1
schools,1
distributed by putnam,1
bedford books,1
longman,1
turtleback books,1
pearson longman,1
hutchinson,1
random  house large print,1
anchor canada,1
arrow books ltd,1
vintage español,1
books on tape,1
titan graphic novels,1
bca ( book club associates ),1
"sterling publishing co., inc.",1
collins,1
"little, brown books for young readers",1
anchor,1
new york graphic society,1
del ray,1
"william morrow & co, inc.",1
pearson english language teaching,1
firebird,1
hodderscape,1
aspect,1
ereads.com,1
sfbc science fiction printing,1
ace,1
viking,1
viking juvenile,1
victor gollancz,1
popular library,1
eyre methuen,1
aspect/warner books,1
orb books,1
brand: ballantine del rey,1
signet,1
macmillan,1
totem books,1
pan books / macmillan,1
distributed by st. martin's press,1
vintage books usa,1
"harperprism, a division of harpercollins publishers",1
perennial classics,1
gregg press,1
g k hall & co,1
arkham house publishers,1
hodder & stoughton ltd,1
coronet australia,1
grafton,1
tor: tom doherty associates,1
penguin classics,1
william morrow paperbacks,1
"bujold, lois mcmaster",1
harper. 1 paperback(s),1
macmillan pub co,1
"harper & row, publishers",1
new englishlibrary,1
warner aspect,1
bluejay books,1
flamingo,1
bantam 2002,1
prime books,1
arkham house,1
paragon,1
